,date,adj _close,volume,VolStat,id,negative,neutral,positive,vix_adj_close,close_previous
0,2016-03-30,54.2917,5723500,0.0125,7,41.0,484.0,299.0,13.56,50.8719
1,2016-04-29,50.8719,12133400,0.020349875044626927,7,57.0,444.0,259.0,15.7,51.5129
2,2016-06-29,51.5129,11103800,0.028690003608805546,7,61.0,456.0,214.0,16.64,51.3826
3,2016-08-30,51.3826,6377700,0.013060360042357961,7,48.0,463.0,262.0,13.12,48.695
4,2016-09-29,48.695,11993500,0.02023014105419457,7,40.0,443.0,259.0,14.02,53.2406
5,2016-11-29,53.2406,10582900,0.01231783483691882,7,87.0,467.0,231.0,12.9,50.8151
6,2016-12-30,50.8151,8344500,0.018656716417910522,7,167.0,464.0,175.0,14.04,51.1629
7,2017-01-30,51.1629,13322000,0.011785714285714352,7,124.0,446.0,203.0,11.88,52.2025
8,2017-02-27,52.2025,7702400,0.011180992313067795,7,71.0,473.0,125.0,12.09,53.4713
9,2017-03-30,53.4713,8677900,0.015317667536988606,7,97.0,452.0,200.0,11.54,58.3997
10,2017-05-30,58.3997,7094600,0.006342159505311536,7,,475.0,,10.38,53.8762
11,2017-06-29,53.8762,7421200,0.020618556701030907,7,,488.0,,11.44,50.5584
12,2017-08-30,50.5584,5596600,0.010732790525536608,7,,463.0,,11.22,49.8073
13,2017-09-29,49.8073,11944400,0.020438225004603194,7,,187.0,,9.51,51.1612
14,2017-10-30,51.1612,6430900,0.015148749771856148,7,,444.0,,10.5,53.3154
15,2018-01-30,53.3154,14341200,0.014044943820224668,7,,450.0,,14.79,53.0234
16,2018-02-27,53.0234,8821400,0.018851457496945338,7,,477.0,,18.59,54.1581
17,2018-05-30,54.1581,5762400,0.008880376110046979,7,,484.0,,14.94,46.0268
18,2018-06-29,46.0268,17413000,0.024542429284525786,7,,469.0,,16.09,48.9006
19,2018-07-30,48.9006,14448400,0.02088122605363991,7,,472.0,,14.26,50.3795
20,2018-08-30,50.3795,5576400,0.00828313253012044,7,,429.0,,13.53,55.5883
21,2018-10-30,55.5883,14230100,0.02019510525415026,7,,467.0,,23.35,63.7942
22,2018-11-29,63.7942,9605500,0.017396520695860774,7,,461.0,,18.79,65.0057
23,2019-01-30,65.0057,11702500,0.017285054388317636,7,,478.0,,17.66,67.2626
24,2019-02-27,67.2626,13274800,0.01708315685444012,7,,468.0,,14.7,73.7443
25,2019-04-29,73.7443,5426800,0.013971539456662333,7,,473.0,,13.11,73.3736
26,2019-05-30,73.3736,7178400,0.010575016523463467,7,,463.0,,17.3,93.1018
27,2019-07-30,93.1018,7248300,0.018051282051282105,7,,468.0,,13.94,93.3676
28,2019-08-30,93.3676,5209500,0.020684736091298155,7,,463.0,,18.98,81.4066
29,2019-10-30,81.4066,8731300,0.016310128826379975,7,,455.0,,12.33,83.0185
30,2019-11-29,83.0185,3857000,0.017227330927715098,7,,460.0,,12.62,84.9718
31,2019-12-30,84.9718,4655600,0.012953073514373373,7,,476.0,,14.82,83.4169
32,2020-01-30,83.4169,12224900,0.022235225277940383,7,,178.0,,15.49,76.4346
33,2020-02-27,76.4346,17120800,0.04452619561080813,7,,461.0,,39.16,66.2518
34,2020-03-30,66.2518,14199700,0.05468750000000001,7,,469.0,,57.08,75.0385
35,2020-04-29,75.0385,24575500,0.025965720133026362,7,,478.0,,31.23,72.14399999999999
36,2020-06-29,72.14399999999999,8653000,0.034168883909816525,7,,474.0,,31.78,75.2466
37,2020-07-30,75.2466,7889800,0.020618556701030907,7,,455.0,,24.76,83.7111
38,2020-09-29,83.7111,4064000,0.018782608695652226,7,,471.0,,26.27,85.8434
39,2020-10-30,85.8434,11400700,0.03145299145299151,7,,480.0,,38.02,105.1026
40,2020-12-30,105.1026,3654100,0.00792527596943111,7,,466.0,,22.77,109.833
41,2021-03-30,109.833,4552900,0.02001475742482938,7,,472.0,,19.61,114.1757
42,2021-04-29,114.1757,8936600,0.02111120925713277,7,,468.0,,17.61,
